,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
11,0.001966931,0.002936082,0.004258246,0.006000354,0.00821498,0.010927471,0.014122655,0.017733585,0.021635167,0.025645283,0.029535086,0.033048558,0.035929428,0.037951734,0.038949013,0.038836922,0.037625015,0.035415393,0.032388511,0.028778848,0.024845021,0.020839574,0.01698329,0.0134474,0.010345187,0.007732535,0.005615507,0.003962229,0.002716275,0.00180922,0.001170826,0.000736168,0.000449723,0.00026693,0.000153933,8.62E-05,4.70E-05,2.48E-05,1.28E-05,6.37E-06
12,0.001909218,0.002899642,0.004278749,0.006134411,0.008545006,0.011564728,0.015206945,0.019428178,0.024116022,0.029084579,0.034080301,0.03879963,0.042917584,0.046123948,0.048161631,0.048860671,0.048161631,0.046123948,0.042917584,0.03879963,0.034080301,0.029084579,0.024116022,0.019428178,0.015206945,0.011564728,0.008545006,0.006134411,0.004278749,0.002899642,0.001909218,0.001221378,0.000759151,0.000458448,0.000268989,0.000153343,8.49E-05,4.57E-05,2.39E-05,1.21E-05
13,0.001783336,0.0027557,0.004137274,0.00603504,0.008553219,0.011777755,0.015757197,0.02048231,0.025867975,0.031741646,0.037842513,0.043834294,0.049332326,0.0539427,0.057308268,0.059154177,0.059324907,0.057805908,0.054725649,0.050337672,0.044986153,0.039061427,0.032953448,0.027010782,0.02151082,0.016644099,0.012512588,0.009139396,0.006485917,0.004472072,0.002995917,0.001949998,0.001233168,0.000757694,0.000452323,0.000262354,0.000147846,8.09E-05,4.31E-05,2.23E-05
14,0.001602958,0.002520176,0.003849666,0.005713456,0.00823869,0.011542529,0.01571185,0.0207796,0.026701187,0.033335537,0.040435971,0.047655366,0.054568155,0.060708604,0.065621287,0.068916428,0.07032088,0.069715501,0.067151842,0.062844898,0.057143342,0.050482956,0.04333187,0.036137126,0.029280824,0.023051358,0.017631662,0.013103083,0.009461005,0.006637195,0.004523925,0.002995917,0.001927647,0.001205061,0.000731937,0.000431939,0.000247659,0.000137965,7.47E-05,3.93E-05
15,0.001386508,0.002217896,0.003447016,0.005205098,0.007636566,0.010885561,0.015076032,0.020286484,0.026522231,0.033689676,0.041578339,0.049856406,0.05808424,0.06574749,0.072307536,0.077262982,0.080212654,0.080909186,0.079293264,0.075501969,0.069849578,0.062784553,0.054830897,0.046524468,0.038354913,0.030721619,0.023908411,0.018077604,0.013280503,0.0094792,0.006573738,0.004429316,0.002899642,0.001844317,0.001139752,0.000684335,0.000399218,0.000226275,0.000124608,6.67E-05
16,0.001154076,0.00187829,0.002970125,0.004563209,0.006811604,0.009878978,0.013920605,0.019058457,0.025351339,0.032764049,0.041141277,0.050192806,0.059496129,0.068520333,0.076671461,0.083354976,0.088046651,0.090360302,0.090100256,0.087288674,0.082162433,0.075140175,0.066765888,0.05763955,0.048347058,0.039400619,0.031197483,0.024000461,0.017939203,0.013027774,0.009192228,0.006301659,0.004197324,0.002716275,0.001707884,0.001043342,0.000619267,0.000357119,0.000200093,0.000108927
17,0.000924394,0.00153072,0.002462735,0.003849666,0.005846717,0.008627491,0.01236917,0.017229793,0.023318634,0.030662649,0.039174165,0.048626538,0.05864493,0.068718095,0.078233953,0.086537223,0.093002399,0.0971111,0.098520615,0.0971111,0.093002399,0.086537223,0.078233953,0.068718095,0.05864493,0.048626538,0.039174165,0.030662649,0.023318634,0.017229793,0.01236917,0.008627491,0.005846717,0.003849666,0.002462735,0.00153072,0.000924394,0.000542378,0.000309194,0.000171255
18,0.000712511,0.001200439,0.001965042,0.003125268,0.004829321,0.007250508,0.010576314,0.014989383,0.020640332,0.027614242,0.035894928,0.045333221,0.055626738,0.066318412,0.076818915,0.086454128,0.094533737,0.100431843,0.103666769,0.10396597,0.10130395,0.095905843,0.088215982,0.078837528,0.068454539,0.057750402,0.047335972,0.037697375,0.029168523,0.021928114,0.016016649,0.011366468,0.007837236,0.005250297,0.003417341,0.002161107,0.001327846,0.000792689,0.000459771,0.000259098
19,0.000528491,0.000905932,0.00150882,0.002441534,0.003838588,0.005863591,0.008702409,0.012548701,0.01758092,0.023931391,0.031650297,0.040669719,0.050774782,0.061589756,0.072585926,0.08311509,0.092467871,0.099950588,0.104969558,0.107108739,0.10618666,0.102281841,0.095721751,0.087037468,0.076892748,0.066000624,0.055042001,0.044598876,0.035110509,0.026855538,0.019957866,0.014410461,0.010109395,0.006890583,0.004563209,0.002936082,0.00183548,0.001114845,0.000657905,0.00037722
20,0.00037722,0.000657905,0.001114845,0.00183548,0.002936082,0.004563209,0.006890583,0.010109395,0.014410461,0.019957866,0.026855538,0.035110509,0.044598876,0.055042001,0.066000624,0.076892748,0.087037468,0.095721751,0.102281841,0.10618666,0.107108739,0.104969558,0.099950588,0.092467871,0.08311509,0.072585926,0.061589756,0.050774782,0.040669719,0.031650297,0.023931391,0.01758092,0.012548701,0.008702409,0.005863591,0.003838588,0.002441534,0.00150882,0.000905932,0.000528491
